评论者,评论内容,评分,评论时间,产品型号,地区
j***h,酒 品质 没,3,2023-09-16 15:31:02,六年窖头曲 52度500mL 单瓶,广东
j***o,质量 喝后 口干头 年份 少 一点,3,2023-08-06 17:24:59,六年窖头曲 500ml*6整箱,湖南
j***h,一箱 礼品袋,3,2023-07-23 10:50:03,六年窖头曲 500ml*6整箱,湖北
e***m,超市,3,2023-09-05 23:13:04,六年窖头曲 52度500mL 单瓶,北京
u***m,卖 贵 尝试 香味 口粮 酒,3,2023-07-11 00:48:41,六年窖头曲 52度500ml 单瓶,江苏
j***i,刚 收到 包装 随意,3,2023-09-07 13:02:01,六年窖头曲 52度500mL 整箱,山东
a***r,喝酒 冲辣喉,3,2023-07-15 01:24:48,六年窖头曲 52度500ml 单瓶,北京
j***j,不太 好喝 口感 说 不好 不太好 下口,3,2023-07-21 10:08:19,六年窖头曲 52度500ml 单瓶,江苏
J***6,商品 感觉 性价比 高,3,2023-08-02 22:16:14,六年窖头曲 52度500ml 单瓶,江苏
冬***z,辣 喉咙 不好喝 真的,3,2023-07-22 19:47:16,六年窖头曲 52度500ml 单瓶,上海
罗***荣,选择项 六年 窖 蓝花 瓷 误以为 六年 窖 价格 实惠 收到 年 当年 产 一年 老窖 马虎 大意 非常容易 入 陷阱 坑 实在太 买回去 存放 六年 物超所值,2,2023-09-27 12:52:55,蓝花瓷头曲 1000mL 整箱,浙江
w***6,酒箱 烂掉 客服 说 没个 涚 法,3,2023-07-08 15:44:25,六年窖头曲 500ml*6整箱,江苏
海***0,上头 不怎么样,3,2023-07-28 08:00:42,六年窖头曲 500ml*6整箱,广西
过***烟,嗓子 不好,3,2023-07-18 08:21:39,六年窖头曲 瑞兔呈祥礼盒,江苏
j***6,东西 不错 酒 品质 好 物流 很快 好 唯一 满意 价格 变化 变化 太 离谱 时刻 变化 想要 朋友 留意 可气 补 差价,2,2023-09-21 11:40:04,六年窖头曲 52度500mL 整箱,北京
j***n,送货上门,3,2023-07-23 15:33:19,六年窖头曲 500ml*6整箱,广东
j***w,往日 感觉 没,3,2023-07-17 19:45:35,六年窖头曲 500ml*6整箱,广东
j***w,防伪标志 位 防伪标志 扣破 查都查 假,2,2023-08-15 18:06:13,六年窖头曲 52度500ml 单瓶,湖南
j***v,包装 差 盒子 胶水 粘好,2,2023-09-17 19:51:44,六年窖头曲 瑞兔呈祥 礼盒,广东
工***5,降价 降 真快,3,2023-11-02 17:11:49,六年窖头曲 52度500mL 整箱,河北
j***l,一点 填充物,3,2023-10-28 23:07:50,六年窖头曲 52度500mL 单瓶,山东
Y***g,没 降价 狠 过年 活动 价 一千一百 七百多 差 四百块 低位 补仓 顺便 中评 没 降价,3,2022-06-02 15:59:05,蓝花瓷头曲 52度1L 整箱,未知
u***d,瓶盖 有点像 被宁过 漏酒,2,2023-10-28 13:29:08,六年窖头曲 52度500mL 单瓶,广东
t***n,延误 送货 时间,3,2023-10-19 20:10:22,头曲三两三 52度165mL 整箱,四川
L***U,口感 不好 不合 口感 情况 入口 没什么 香味 中段 辣喉 后段 没什么 返香 评测 说好,2,2023-09-11 06:48:44,六年窖头曲 52度500mL 整箱,安徽
j***c,大箱 包装 太 次,3,2023-09-12 07:56:28,六年窖头曲 52度500mL 整箱,山东
j***f,年前 泸州老窖 好喝 难喝 不好喝 难喝 假酒,2,2023-08-16 21:50:34,六年窖头曲 500ml*6整箱,云南
j***5,买完 降价,3,2023-08-07 12:29:11,六年窖头曲 瑞兔呈祥礼盒,广东
l***1,打开 包装 酒 盖子 贴 一层 纸 撕不掉,2,2023-10-21 22:04:25,六年窖头曲 52度500mL 整箱,广东
j***n,打开 包装 瓶盖 开启,2,2023-10-19 22:45:37,六年窖头曲 52度500mL 单瓶,河北
罗***号,刚买过 两天 百补 保价 很坑 差 两瓶 酒 钱,2,2023-09-18 10:12:18,六年窖头曲 52度500mL 整箱,浙江
忘***葱,瓶子 脏 全是 划痕 脏 胶 好像 卖 多少次 退回来,2,2023-09-18 18:16:15,蓝花瓷头曲 好事成双礼盒,吉林
j***o,一共 六 小瓶 家里 客人 提前 打开 一小 瓶试 味道 超级 辣 喝下去 欲望,2,2023-07-27 23:01:06,头曲三两三 52度165ml 6瓶 礼盒,湖南
j***C,刚 买不到 降价 几十元 保价 敢,2,2023-11-01 19:57:24,六年窖头曲 52度500mL 整箱,四川
u***s,装 假酒 块钱 酒,2,2023-11-03 20:40:07,六年窖头曲 52度500mL 单瓶,海外
u***b,新酒 入口 太辣 存放 十年 更好 买来 存放 性价比 高,2,2023-08-25 11:13:17,六年窖头曲 52度500mL 整箱,广东
晨***贝,降价 厉害 没法 补差,2,2023-09-24 16:38:16,六年窖头曲 瑞兔呈祥 礼盒,山东
y***1,快递 服务 太差 送货上门,2,2023-11-02 21:09:35,六年窖头曲 52度500mL 整箱,广东
p***g,价格 两天 便宜,2,2023-09-08 00:14:48,六年窖头曲 52度500mL 整箱,广东
云***8,新酒 很辣 头曲,2,2023-07-23 10:40:51,六年窖头曲 500ml*6整箱,福建
j***4,口感 性价比 低,2,2023-10-15 13:07:49,六年窖头曲 52度500mL 整箱,海外
j***u,不好喝 入口 辣 上头,2,2023-10-13 21:40:55,六年窖头曲 52度500mL 整箱,江西
u***z,泸州老窖 旗舰店 外包装 即食 燕麦片,2,2023-08-23 15:11:21,六年窖头曲 52度500mL 单瓶,吉林
j***p,酒 价格 天天 搞 明白,2,2023-08-03 15:23:42,六年窖头曲 500ml*6整箱,江苏
j***5,招待 客户 行 价格 合适,2,2023-09-08 20:39:03,六年窖头曲 52度500mL 整箱,广东
w***9,价格 贵 价格 贵,2,2023-08-08 10:23:58,六年窖头曲 500ml*6整箱,江苏
凌***胖,价格,3,2023-11-07 19:42:13,六年窖头曲 52度500mL 整箱,上海
j***9,样 一分钱 一分货,3,2021-02-06 11:49:51,六年窖整箱6瓶装,未知
j***c,包装 挺 好 一分钱 一分货,3,2020-11-10 19:39:52,六年窖 52度  500ml*6,未知
j***U,第一次 购买 用后 评价,3,2020-12-07 03:50:01,六年窖 52度  500ml*6,未知
王***潇,削价 行 酒 嘴里,3,2020-07-14 21:26:28,泸州老窖六年陈头曲 500ml*6瓶,未知
j***h,泸州老窖 某液 好,3,2020-03-08 13:25:44,六年窖头曲 52度,未知
j***e,这是 情况 解释一下,2,2020-01-01 09:40:48,泸州老窖六年陈头曲 500ml*6瓶,未知
兵***下,性价比 性价比 行 尝尝,3,2020-01-16 15:39:35,泸州老窖六年陈头曲 500ml*6瓶,未知
F***p,口感,3,2023-10-27 12:30:42,六年窖头曲 52度500mL 整箱,辽宁
L***9,降价 很快,3,2023-10-04 09:45:20,蓝花瓷头曲 52度500mL 礼盒,广东
战***3,,3,2023-09-27 05:17:34,蓝花瓷头曲 1000mL 整箱,黑龙江
酷***5,礼盒,3,2023-08-17 20:43:47,六年窖头曲 52度500ml 单瓶,江西
w***c,整箱 送 行 一般般,3,2018-06-29 22:41:34,泸州老窖 六年窖头曲 52度 500ml,未知
小***1,上头,2,2023-08-30 11:37:38,六年窖头曲 52度500mL 单瓶,广东
j***f,降价 太快,2,2023-06-20 16:17:27,六年窖头曲 瑞兔呈祥礼盒,河南
j***g,还行 酒,3,2014-08-27 11:00:54,六年陈头曲09版-单瓶装,未知
j***q,不好喝,2,2023-07-04 18:16:42,六年窖头曲 瑞兔呈祥礼盒,山东
j***3,五件 赠品 差评,3,2023-09-29 11:20:35,六年窖头曲 52度500mL 整箱,海外
P***n,东西 挺不错 破损 售后 服务态度 不错 找 说 仓库 打包 没 检查 好 差评 仓库 打包,2,2023-09-23 15:32:42,六年窖头曲 瑞兔呈祥 礼盒,山东
y***3,差评 差评 差评 买酒 礼品袋 抱 送 酒盒 商品名称 东西 袋子 行,2,2023-10-01 10:34:31,蓝花瓷头曲 好事成双礼盒,北京
Z***S,京东 假酒 喝后 头疼 难受,1,2024-02-29 22:54:35,52度 500mL 2瓶 春节礼盒,广东
j***I,差评,1,2024-02-29 20:01:06,52度 500mL 2瓶 龙行大运礼盒,河南
R***g,难喝 感觉 假酒 头疼,1,2024-02-29 19:12:04,52度 500mL 2瓶 春节礼盒,上海
j***G,差评,1,2024-02-29 11:41:22,六年窖头曲 52度500mL 整箱,湖北
任***板,节前 下单 毫升 毫升 一瓶 选 下单 前 说 年前 送到 下单 第二天 显示 年 送货 无语 最终 年 送到,1,2024-02-28 21:12:14,52度 1L 6瓶 蓝花瓷头曲大容量,河北
j***j,差评,1,2024-02-28 18:15:25,六年窖头曲 52度500mL 整箱,安徽
高***客,我晕 昨天 情况,1,2024-02-28 10:22:01,六年窖头曲 52度500mL 整箱,四川
j***u,难喝,1,2024-02-27 18:13:36,52度 1L 6瓶 蓝花瓷头曲大容量,四川
韦***S,记忆 噪音 较大 出风 一股 味道 外观 表面 污染 像是,1,2024-02-27 09:39:41,六年窖头曲 路路顺 礼盒,广西
j***9,咋样 喝完 第二天 头 嗷嗷 疼,1,2024-02-26 14:17:26,六年窖头曲 52度500mL 整箱,天津
b***4,差评,1,2024-02-26 11:41:53,52度 500mL 2瓶 龙行大运礼盒,辽宁
调***八,不太 好喝 上头 推荐,1,2024-02-26 09:53:07,六年窖头曲 52度500mL 单瓶,四川
锦***东,差评 刚 买完 降 补 差价,1,2024-02-25 17:45:49,52度 500mL 6瓶 红酝头曲整箱,江苏
j***u,不好,1,2024-02-24 15:57:49,六年窖头曲 52度500mL 整箱,上海
j***4,上头 半斤 第二天 头疼 礼盒装 精美 不好喝 差评,1,2024-02-24 14:03:10,52度 500mL 2瓶 蓝花瓷龙年礼盒,河北
j***j,难喝,1,2024-02-23 20:22:16,六年窖头曲 52度500mL 整箱,江西
今***你,反馈 口感 差 怀疑 假酒 没 敢喝 失败 购买 经历,1,2024-02-23 15:54:11,六年窖头曲 52度500mL 整箱,浙江
淡***儿,差评,1,2024-02-22 23:16:29,六年窖头曲 52度500mL 整箱,四川
j***O,京东 购买 商品 挺 满意 更 送货上门 售后 好 快递 小哥 拒绝 送货上门 告诉 包裹 放在 私自 签收 无语 来回 打个 顺风 车取件 找 几个 地方 拿到 包裹 大大的 纸箱 窝火,1,2024-02-22 16:05:15,蓝花瓷头曲 52度500mL 礼盒,湖南
l***g,百亿 补贴 价 保价 是从 收藏 降价 降价 不爽,1,2024-02-22 14:24:36,52度 500mL 2瓶 蓝花瓷龙年礼盒,云南
j***t,买来 送人 京东 客服 只会 扯皮,1,2024-02-22 11:25:30,52度 500mL 2瓶 龙行大运礼盒,山东
j***2,假酒 明天 申请 客服 介入 晚上 七点 十二点 头疼,1,2024-02-22 00:14:04,52度 500mL 2瓶 春节礼盒,山东
j***5,差评,1,2024-02-21 22:08:35,52度 500mL 2瓶 龙行大运礼盒,辽宁
随***缘,发来 商品 脏污 鸟粪 京东 品控 管理 越来越 差,1,2024-02-21 22:04:27,六年窖头曲 52度500mL 单瓶,山东
j***R,瓶盖 变白 假酒,1,2024-02-20 19:58:39,六年窖头曲 52度500mL 整箱,北京
s***秀,一点 不好喝 一点 柔顺 问会 有曲味 卖家 说 回来 打开 亲戚 喜欢 hellip hellip hellip hellip,1,2024-02-20 17:22:48,六年窖头曲 52度500mL 整箱,广东
舞***g,不太 好喝,1,2024-02-20 16:10:05,六年窖头曲 52度500mL 单瓶,广东
疯***狂,包装 陈旧 纸盒 沾 瓶盖 瓶底 还放有 干燥剂 怀疑 假酒 假酒,1,2024-02-20 11:15:12,六年窖头曲 52度500mL 整箱,四川
j***2,差评,1,2024-02-19 19:29:53,六年窖头曲 52度500mL 整箱,广东
吕***安,这款 酒 头疼 试 两次 怕 头疼 推荐 购买,1,2024-02-18 23:36:34,52度 500mL 6瓶 红酝头曲整箱,山东
T***a,假酒 两个 第二天 醉 头晕,1,2024-02-18 19:55:49,六年窖头曲 52度500mL 单瓶,天津
王***6,差差 差,1,2024-02-18 15:38:33,六年窖头曲 52度500mL 整箱,河南
k***6,收到 货后 打开 快递 箱子 泸州老窖 外包装 顶部 鼓起来 酒瓶盖 子 酒瓶 盒子 盖 不紧 看着 简陋 hellip hellip 打电话 投诉 京东 承诺 酒 没 真酒 选择 息事宁人 hellip hellip 过年 期间 家里 来客 一连 打开 几盒 酒瓶盖 子上 沾 一些纸 壳子 酒瓶盖 子 沾 酒瓶 盒子 沾 纸 壳子 一看 酒瓶 盒子 完好无损 破 酒瓶盖 子 装盒 不由 怀疑 酒 真假 hellip hellip 售后 客服 客服 商家 说 酒瓶盖 子 盒子 摩擦 导致 酒瓶盖 字 掉 漆 hellip hellip 赞同 这一 看法 智商 当零来 糊弄 hellip hellip 客服 说 退 三十块 钱 事 怀疑 酒 真假 客服 鉴定 hellip hellip 完好无损 酒瓶 盒子 装着 破烂 盖子 酒瓶 说 真酒 怀疑 多年 泸州老窖 真的 无语 第一次 遇见 情况 过年 真 闹心 这家 酒 不在乎 赔偿 多少钱 满意 敷衍 态度,1,2024-02-18 15:11:55,六年窖头曲 52度500mL 单瓶,山东
j***i,不好喝 一会儿 上头 一百多 不好喝,1,2024-02-18 13:36:50,52度 500mL 6瓶 淡雅头曲,陕西
一***乐,包装 物流 送货 速度 好 过年 打开 酒 不好喝 辣口 上头 快 下头慢,1,2024-02-18 11:31:14,52度 500mL 2瓶 春节礼盒,江西
j***i,嘴里 烧到 胃里 最差,1,2024-02-17 18:42:42,52度 500mL 6瓶 红酝头曲整箱,四川
u***e,酒 上头 头晕眼花,1,2024-02-17 14:59:26,六年窖头曲 瑞兔呈祥 礼盒,安徽
j***A,看着 好评 为啥 朋友 酒都 说辣喉 不好 下咽 没喝 完 一瓶 酒,1,2024-02-17 09:37:24,六年窖头曲 52度500mL 单瓶,贵州
一***天,难喝,1,2024-02-17 09:34:10,52度 500mL 2瓶 春节礼盒,广西
j***o,泸酒 老窖 难喝 酒 特别 辣 口 干 不好,1,2024-02-17 08:25:24,52度 500mL 2瓶 春节礼盒,江苏
指***南,真实 评价 包装 挺 好 不好喝,1,2024-02-16 19:45:43,52度 500mL 2瓶 龙行大运礼盒,海南
j***b,瓶盖 松动 打开 包装 一股 酒 味道 漏酒,1,2024-02-16 12:14:32,六年窖头曲 52度500mL 单瓶,山东
哼***帅,礼盒装 建议 本来 买回来 过节 送人 盒内 酒 移位 没 办法 送人 只能,1,2024-02-16 11:05:04,蓝花瓷头曲 52度500mL 礼盒,河南
聊***乐,垃圾 两箱 一箱 没 送人 一箱 打开 发现 大箱子 套 小箱子 箱子 发霉 京东 太 失望 关键 送 一箱 真 无语,1,2024-02-15 20:38:03,六年窖头曲 52度500mL 整箱,山东
u***y,一箱 瓶 礼品袋 撒 失望,1,2024-02-15 12:05:47,六年窖头曲 52度500mL 整箱,重庆
m***9,差评,1,2024-02-15 11:27:38,六年窖头曲 路路顺 礼盒,重庆
j***R,差评,1,2024-02-14 14:45:26,52度 500mL 6瓶 红酝头曲整箱,安徽
j***c,上头 大过年 一家人 脑袋 迷糊 大过年 脑袋 干 疼,1,2024-02-14 12:53:12,六年窖头曲 52度500mL 整箱,辽宁
j***4,差评,1,2024-02-13 22:10:02,六年窖头曲 52度500mL 整箱,四川
j***j,头疼,1,2024-02-13 18:14:23,六年窖头曲 52度500mL 整箱,上海
梦***8,发酒 发袋 生意 送礼,1,2024-02-13 11:06:29,六年窖头曲 52度500mL 单瓶,海南
叮***n,刺鼻 上头 买来 送人 一喝 说 勾兑 酒 说 假 真的 尴尬 送人 hellip hellip 再也不会,1,2024-02-13 10:44:37,52度 500mL 2瓶 龙行大运礼盒,四川
慌***1,不好喝 个人感觉,1,2024-02-13 10:41:11,52度 500mL 2瓶 龙行大运礼盒,广东
春***酱,抽 中 赠品 发货 骗人 活动,1,2024-02-13 08:17:18,52度 500mL 2瓶 龙行大运礼盒,新疆
j***o,差评,1,2024-02-12 22:45:27,52度 500mL 2瓶 蓝花瓷龙年礼盒,山东
h***g,差评,1,2024-02-12 21:56:14,52度 500mL 2瓶 龙行大运礼盒,江苏
h***1,明明 拍 龙 年款 收货 包装 购物 链接 说 拍 错 京东 东西 拍 东西 先 截图 省 承认,1,2024-02-12 16:40:08,蓝花瓷头曲 52度500mL 礼盒,河北
u***k,差评,1,2024-02-11 20:19:41,六年窖头曲 52度500mL 整箱,河北
j***Q,不好喝 家人 喝完 头疼 假酒,1,2024-02-11 19:57:18,六年窖头曲 52度500mL 整箱,福建
u***i,第五次 购买 这号 第二次 酒感 差曲味 太重,1,2024-02-11 00:12:30,六年窖头曲 52度500mL 整箱,广东
曹***-,垃圾 真 难喝 味道 特别 返,1,2024-02-10 20:39:44,六年窖头曲 52度500mL 整箱,河北
阿***0,消费 欺诈 直播 说 送 酒具 破 玩意 值 几个 钱 老子 这件 事,1,2024-02-10 18:37:16,52度 500mL 2瓶 春节礼盒,内蒙古
j***q,柔 酒香 两样 更 评论 酒香,1,2024-02-10 13:24:49,52度 500mL 2瓶 龙行大运礼盒,黑龙江
侯***宁,第二天 头疼 厉害,1,2024-02-10 09:34:48,六年窖头曲 52度500mL 单瓶,山东
j***d,差评,1,2024-02-09 23:07:10,六年窖头曲 52度500mL 整箱,四川
j***t,酒 感觉 勾兑 前 几天 线下 一模一样 酒 难 入口,1,2024-02-09 19:28:43,六年窖头曲 52度500mL 整箱,福建
j***1,两瓶 酒 酒 袋子 分 两个 物流 发货 可恨 酒 送到 酒 袋子 迟迟 配送 找 兜 装酒 送 太 尴尬 京东 发货 客服 说 咨询 回复 满意 购物,1,2024-02-09 15:56:46,六年窖头曲 52度500mL 单瓶,天津
j***丶,差评,1,2024-02-09 13:42:11,52度 500mL 2瓶 蓝花瓷龙年礼盒,湖南
山***夫,说 礼品袋 到货 要用 打开 礼品袋 玩弄 消费者 补发 补发 我用,1,2024-02-09 13:19:52,六年窖头曲 52度500mL 整箱,山东
小***阿,差评,1,2024-02-09 12:10:15,六年窖头曲 52度500mL 整箱,河北
j***R,垃圾 吃 灰 天 糊弄,1,2024-02-09 10:37:24,52度 500mL 2瓶 春节礼盒,广西
f***1,假酒 勾兑 不良 酒 工业 酒精 气味 怕 中毒,1,2024-02-09 07:18:30,六年窖头曲 52度500mL 整箱,河南
u***f,货都 显示 签收 货在 小哥 不上 找 客服 官方 话术 第一次 差评,1,2024-02-08 22:15:10,六年窖头曲 52度500mL 整箱,安徽
j***t,喵 礼品袋,1,2024-02-08 17:29:13,六年窖头曲 52度500mL 整箱,安徽
乐***啊,差评,1,2024-02-08 10:25:28,六年窖头曲 52度500mL 整箱,辽宁
u***7,快递 不行 送货上门,1,2024-02-08 08:57:24,六年窖头曲 52度500mL 单瓶,海外
w***8,刚买 三天 降价 坑,1,2024-02-07 22:36:03,52度 500mL 2瓶 蓝花瓷龙年礼盒,山东
u***b,说 礼品袋 收到 整箱 忙 没 时间 打开 出门 走亲戚 送礼 外箱 打开 发现 礼品袋 早 礼品袋 酒,1,2024-02-07 21:20:37,六年窖头曲 52度500mL 整箱,四川
j***0,不好喝,1,2024-02-07 18:45:51,六年窖头曲 瑞兔呈祥 礼盒,天津
j***0,口感 极差 上头,1,2024-02-07 15:16:18,52度 500mL 2瓶 春节礼盒,山东
我***星,瓶盖 盒子 胶水 粘住 正,1,2024-02-07 07:34:22,六年窖头曲 52度500mL 整箱,福建
j***a,差评,1,2024-02-06 22:14:27,52度 500mL 2瓶 蓝花瓷龙年礼盒,上海
j***b,快递 物流 慢 包装 破损 送礼 拿不出手 找 售后 没用,1,2024-02-06 21:44:44,52度 500mL 2瓶 春节礼盒,广西
j***l,京东 自营 酒 瓶盖 不严 漏酒 说 假酒 吾 不信,1,2024-02-06 21:32:18,六年窖头曲 52度500mL 单瓶,山东
u***l,差评,1,2024-02-06 20:36:29,六年窖头曲 52度500mL 整箱,江苏
j***f,包装 破损 胶带 开掉,1,2024-02-06 15:55:44,52度 500mL 2瓶 蓝花瓷龙年礼盒,辽宁
j***h,头疼 假酒 没 那种 头曲 香味,1,2024-02-06 13:51:22,52度 500mL 2瓶 春节礼盒,山东
胖***熊,拍下 没货 三天 备货 终于 发货 收到 货 包装盒 坏 本来 打算 送礼 包装盒 坏掉 年前 换货 只能 超市 礼品 留 没 办法 送礼 只能 说 很差 网购 体验,1,2024-02-06 13:03:24,六年窖头曲 路路顺 礼盒,吉林
j***a,香型 口感 不值 价格 口感 不怎么样,1,2024-02-06 11:35:46,52度 500mL 2瓶 龙行大运礼盒,江西
g***9,一星 快递 家里 老人 搬不动 说 送货上门 快递 私自 放到 代收 点 赶紧 检讨 检讨,1,2024-02-05 19:52:49,六年窖头曲 52度500mL 整箱,广东
j***t,平时 一斤 三两 超级 头疼 说 好多 酒都 真假 掺着 卖,1,2024-02-05 19:23:20,六年窖头曲 52度500mL 整箱,山东
j***f,差评,1,2024-02-05 16:52:17,六年窖头曲 52度500mL 整箱,北京
1***a,京东 客服 差劲 态度恶劣,1,2024-02-05 14:09:16,六年窖头曲 路路顺 礼盒,山东
j***j,去年 酒 烧 胃服,1,2024-02-05 12:46:00,52度 500mL 6瓶 红酝头曲整箱,河北
****行,酒 分量 均 跑 酒 情况,1,2024-02-05 11:59:33,52度 1L 6瓶 蓝花瓷头曲大容量,云南
暖***肆,老人 两箱 酒 一箱 烂 一瓶 找 店铺 店铺 找 京东 说 超了售 后期 真是太 差劲 投诉 京东,1,2024-02-05 09:48:38,六年窖头曲 52度500mL 整箱,河南
露***熙,礼品袋 礼品袋 礼品袋,1,2024-02-05 09:43:24,六年窖头曲 52度500mL 单瓶,湖南
j***z,买过 价位 挺香,1,2024-02-05 09:27:39,六年窖头曲 52度500mL 整箱,江西
j***Z,包装 喝行 适合 送礼,1,2024-02-05 09:06:55,蓝花瓷头曲 52度500mL 礼盒,山东
z***川,价格 没喝 酒醉,1,2024-02-05 06:53:05,六年窖头曲 52度500mL 整箱,黑龙江
j***K,两瓶 打开 瓶盖 白色 不明 覆着 物 怀疑 纸盒 开过 分 两次 吃饭 第一瓶 打开 意外 瓶 外包装 拆开 说不清楚 京东 买过 东西 最差,1,2024-02-05 01:20:14,六年窖头曲 52度500mL 单瓶,重庆
m***4,酒 挺舒服 酒 上头 厉害 支持 退货 谨慎 购买,1,2024-02-04 22:27:19,六年窖头曲 52度500mL 单瓶,上海
C***i,漏酒 没 开 包装 浓 酒 味儿 打开 发现 瓶盖 下部 玻璃瓶 接触 地方 味道 评论 漏酒 泸州老窖 改进 瓶盖 工艺,1,2024-02-04 19:48:59,六年窖头曲 52度500mL 单瓶,天津
j***V,差评,1,2024-02-04 19:45:05,六年窖头曲 52度500mL 整箱,云南
j***f,差评,1,2024-02-04 16:22:18,六年窖头曲 52度500mL 整箱,广东
h***o,差评,1,2024-02-04 15:04:48,52度 500mL 2瓶 龙行大运礼盒,吉林
j***H,没 手提袋 真坑 购买 需谨慎,1,2024-02-04 14:54:07,52度 500mL 2瓶 好事成双礼盒,内蒙古
j***q,打开 失望 包装盒 破 烦人 味道 值得 价 拿来 送人,1,2024-02-04 12:11:51,六年窖头曲 52度500mL 整箱,广东
五***子,评论 发现 过年 贵,1,2024-02-03 17:59:56,六年窖头曲 52度500mL 整箱,广东
j***b,挂羊头卖狗肉 泸州老窖 算是 老 品牌 京东 自营 店 小把戏 虚 标度 数 客服 只会 一句 经得起 官方 正规渠道 质检 检验 本来 打算 过年 送礼 消化 欺骗 消费者 信任 只能 说 一句 垃圾,1,2024-02-03 17:13:27,六年窖头曲 52度500mL 整箱,山东
j***c,差评,1,2024-02-03 13:04:27,52度 500mL 2瓶 蓝花瓷龙年礼盒,北京
爱***昼,差评 没 几天 降价 无语,1,2024-02-03 10:51:55,六年窖头曲 52度500mL 整箱,河北
j***o,说好 酒具 问 客服 没人 回复 垃圾,1,2024-02-03 10:39:20,六年窖头曲 52度500mL 整箱,山东
K***E,酒辣 嗓子 单薄 价格 稳定 说不定 掉,1,2024-02-02 22:43:42,六年窖头曲 52度500mL 整箱,山东
j***n,差评,1,2024-02-02 22:05:24,六年窖头曲 52度500mL 单瓶,吉林
我***纸,差评,1,2024-02-02 21:51:15,六年窖头曲 52度500mL 整箱,江苏
婧***言,换回来 差评 这是 京东 自营 bug 时间 没法 保证 爱换 不换 京东 砸 招牌 已发 希望 上当受骗,1,2024-02-02 12:37:03,蓝花瓷头曲 52度500mL 礼盒,河北
j***u,买完 降价 京东 策略 杀熟 涨价 买完 降价 真 爷爷 过分,1,2024-02-02 12:10:48,蓝花瓷头曲 52度500mL 礼盒,吉林
j***0,太 差劲 假 酒吧 打开 瓶盖 黏着 一层 纸 扣 扣 掉 盖子 掉 颜色 客服 解决 推卸责任,1,2024-02-02 10:27:28,六年窖头曲 52度500mL 整箱,河北
开***啊,礼盒 上连个 酒 名字 没 写 零食 大礼包 支持 天无 理由 真想 退掉,1,2024-02-02 09:12:37,52度 500mL 2瓶 蓝花瓷龙年礼盒,山东
j***u,大爷 京东 查询 涨价 买后 降价 京东 杀熟 东西 京东 东西 小心 太 失望 至极 值得 推荐 失望 降价 杀熟,1,2024-02-02 09:05:56,六年窖头曲 52度500mL 整箱,吉林
j***活,原封 漏酒 紧身 购买 店铺 客服 够 费劲,1,2024-02-01 22:13:54,六年窖头曲 52度500mL 整箱,海南
业***手,酒 好不好 没喝 反正 保价 功能 形同虚设 明明 活动 价格 下降 保价 成功 无语 这是 快递 速度 很快 小哥 服务态度 好,1,2024-02-01 21:02:41,六年窖头曲 52度500mL 整箱,山东
孟***翟,包装 无敌 好好 礼盒 很深 深 划痕 急用 告诉 抱歉 不好意思 失望 至极 购物 体验 感,1,2024-02-01 18:07:59,52度 500mL 2瓶 龙行大运礼盒,河北
j***R,酒 不行 支持 退货 后悔 网络 酒 不行,1,2024-02-01 16:18:19,52度 500mL 2瓶 春节礼盒,四川
j***S,包装 破损,1,2024-01-31 21:04:19,六年窖头曲 52度500mL 整箱,北京
u***r,垃圾 商品 垃圾 物流 买个 东西 三四次 顺利,1,2024-01-31 15:46:42,52度 500mL 2瓶 好事成双礼盒,海外
N***w,没 两天 百亿 补贴 降价 一百多 主页 保价 天 恼火,1,2024-01-31 15:28:50,52度 1L 6瓶 蓝花瓷头曲大容量,贵州
j***8,太坑 价 买贵 感觉 坑,1,2024-01-31 10:35:18,52度 500mL 2瓶 龙行大运礼盒,广东
u***n,下单 两件 给我发 一件 找 物流 几次 物流 找 物流 原因 发货 弄错 少发 一件 找 商家 客服 找 京东 客服 打字 慢 来来回回 折腾 几个 小时 补发 一件 完事 人为 事 解释一下 事情 负责 道歉 真的 太差 太差 太差 太差 hellip hellip,1,2024-01-31 09:35:56,蓝花瓷头曲 52度500mL 礼盒,山东
明***z,太 难喝,1,2024-01-31 01:26:52,六年窖头曲 52度500mL 整箱,陕西
j***f,新 包装 破损 第一 感觉 舒服,1,2024-01-30 20:45:40,六年窖头曲 52度500mL 单瓶,四川
睡***岸,再也不会 真 不怎么样,1,2024-01-30 17:46:27,六年窖头曲 52度500mL 整箱,河南
j***q,极差 购物 体验 自营,1,2024-01-30 14:56:09,52度 500mL 2瓶 龙行大运礼盒,浙江
O***C,头疼 胃 难受 感觉 假酒,1,2024-01-30 10:24:56,六年窖头曲 52度500mL 单瓶,浙江
j***j,再也 买酒 平时 酒量 挺 好 难受 两天 没喝 假酒 避雷 避雷,1,2024-01-30 09:31:51,52度 500mL 2瓶 龙行大运礼盒,河北
j***l,亏了 天猫 超市,1,2024-01-29 19:11:28,六年窖头曲 52度500mL 整箱,天津
j***x,两瓶 漏 外包装 没 京东 快递 没 瓶盖 子 不行 快 过年 不想 换 来回 折腾 麻烦 希望 厂家 小事 做好 回头客 肯定,1,2024-01-29 17:35:30,六年窖头曲 52度500mL 单瓶,新疆
河***坤,盒子 二维码 扫描 客服 机器人 真伪,1,2024-01-29 13:26:39,六年窖头曲 52度500mL 整箱,河南
